fileName,Line,Treatment,Resilient,T_R,T_R_L
L01_EKRN230055754-1A_HNYF2DSX7_L2.counts,4707,T,N,TN,TN4707
L02_EKRN230055755-1A_HNYH7DSX7_L2.counts,4707,T,N,TN,TN4707
L03_EKRN230055756-1A_HNYF2DSX7_L3.counts,4707,T,N,TN,TN4707
L04r.counts,4707,C,N,CN,CN4707
L05.counts,4707,C,N,CN,CN4707
L06_EKRN230055759-1A_HNYF2DSX7_L2.counts,4707,C,N,CN,CN4707
L07_EKRN230055760-1A_HNYF2DSX7_L4.counts,4846,T,Y,TY,TY4846
L08.counts,4846,T,Y,TY,TY4846
L09_EKRN230055762-1A_HNYF2DSX7_L2.counts,4846,T,Y,TY,TY4846
L10_EKRN230055763-1A_HNYF2DSX7_L2.counts,GDDH33,T,N,TN,TNGDDH33
L11_EKRN230055764-1A_HNNLLDSX7_L4.counts,GDDH33,T,N,TN,TNGDDH33
L12_EKRN230055765-1A_HNYH7DSX7_L2.counts,GDDH33,T,N,TN,TNGDDH33
L13_EKRN230055766-1A_HNYF2DSX7_L4.counts,4846,C,Y,CY,CY4846
L14_EKRN230055767-1A_HNNLLDSX7_L4.counts,4846,C,Y,CY,CY4846
L15_EKRN230055768-1A_HNYF2DSX7_L4.counts,4846,C,Y,CY,CY4846
L16_EKRN230055769-1A_HNNLLDSX7_L4.counts,GDDH33,C,N,CN,CNGDDH33
L17_EKRN230055770-1A_HNYF2DSX7_L2.counts,GDDH33,C,N,CN,CNGDDH33
L18_EKRN230055771-1A_HNNLLDSX7_L4.counts,GDDH33,C,N,CN,CNGDDH33
L19_EKRN230055772-1A_HNYF2DSX7_L2.counts,5557,T,Y,TY,TY5557
L20.counts,5557,T,Y,TY,TY5557
L21_EKRN230055774-1A_HNNLLDSX7_L4.counts,5557,T,Y,TY,TY5557
L22_EKRN230055775-1A_HNYF2DSX7_L4.counts,5557,C,Y,CY,CY5557
L23.counts,5557,C,Y,CY,CY5557
L24_EKRN230055777-1A_HNNLLDSX7_L4.counts,5557,C,Y,CY,CY5557
